linkId,sourceId,sinkId,keyRate,proDelay,bandwidth,weight,faultTime,is_cross_subdomain,src_subdomain,src_isGateway,dst_subdomain,dst_isGateway
0,1006,1061,4.8,5,4,1.9,-1,0,3,0,3,0
1,1794,1814,4.0,6,8,2.0,-1,0,4,0,4,0
2,3545,3634,2.4,2,4,2.3,-1,0,8,0,8,0
3,4333,4387,4.2,8,6,2.2,-1,0,9,0,9,0
4,670,846,4.2,6,10,1.8,-1,0,2,0,2,0
5,1797,1819,3.2,3,4,2.1,-1,0,4,0,4,0
6,3877,3878,3.5,1,2,2.0,-1,0,8,0,8,0
7,269,273,4.6,2,4,1.6,-1,0,1,0,1,0
8,3297,3303,4.4,6,10,1.8,-1,0,7,0,7,0
9,4157,4161,2.2,6,10,2.4,-1,0,9,0,9,0
10,4718,4723,5.0,8,6,2.0,-1,0,10,0,10,0
11,3775,3867,4.9,0,2,1.4,-1,0,8,0,8,0
12,4728,4916,4.0,8,6,2.3,-1,0,10,0,10,0
13,1887,1978,4.3,5,2,2.1,-1,0,4,0,4,0
14,1359,1364,2.9,2,8,1.9,-1,0,3,0,3,0
15,1620,1634,2.0,4,10,2.3,-1,0,4,0,4,0
16,2334,2438,4.3,8,2,2.4,-1,0,5,0,5,0
17,218,227,4.6,4,10,1.5,-1,0,1,0,1,0
18,3246,3257,3.8,2,6,1.8,-1,0,7,0,7,0
19,3378,3413,4.3,8,10,2.0,-1,0,7,0,7,0
20,1509,1537,4.8,9,6,2.2,-1,0,4,0,4,1
21,4169,4171,3.5,1,6,1.8,-1,0,9,0,9,0
22,3589,3596,4.6,4,4,1.8,-1,0,8,0,8,0
23,1421,1424,2.2,9,2,3.1,-1,0,3,0,3,0
24,41,42,2.3,7,2,2.9,-1,0,1,0,1,0
25,2805,2962,4.9,8,4,2.1,-1,0,6,0,6,0
26,3932,3935,2.4,7,10,2.5,-1,0,8,0,8,0
27,4792,4793,2.5,8,10,2.5,-1,0,10,0,10,0
28,3008,3321,3.3,3,10,1.8,-1,0,7,0,7,0
29,2555,2558,4.3,3,6,1.7,-1,0,6,0,6,0
30,4363,4387,3.2,10,6,2.7,-1,0,9,0,9,0
31,1395,1408,3.3,8,8,2.4,-1,0,3,0,3,0
32,2835,2841,2.4,3,2,2.5,-1,0,6,0,6,0
33,3802,3825,3.0,9,10,2.5,-1,0,8,0,8,0
34,3807,3940,2.7,3,2,2.4,-1,0,8,0,8,0
35,273,284,2.2,10,2,3.2,-1,0,1,0,1,0
36,1713,1717,2.7,0,6,1.9,-1,0,4,0,4,0
37,4426,4443,2.2,3,6,2.3,-1,0,9,0,9,0
38,1458,1464,4.0,3,10,1.6,-1,0,3,0,3,0
39,3178,3180,2.4,9,10,2.7,-1,0,7,0,7,0
40,4312,4341,3.4,7,8,2.3,-1,0,9,0,9,0
41,162,453,2.6,1,8,1.9,-1,0,1,0,1,0
42,1564,1594,3.1,6,8,2.3,-1,0,4,0,4,0
43,2061,2171,4.6,0,2,1.5,-1,0,5,0,5,0
44,127,166,2.2,5,2,2.7,-1,0,1,0,1,0
45,3367,3375,2.7,3,10,2.0,-1,0,7,0,7,0
46,813,908,3.3,6,4,2.4,-1,0,2,0,2,0
47,3693,3774,2.8,3,2,2.4,-1,0,8,0,8,0
48,959,962,3.3,8,2,2.7,-1,0,2,0,2,0
49,546,564,2.2,8,2,3.0,-1,0,2,0,2,0
50,3218,3252,4.9,3,4,1.6,-1,0,7,0,7,0
51,2003,2166,3.2,7,4,2.5,-1,0,5,0,5,0
52,2877,2959,4.6,0,4,1.4,-1,0,6,0,6,0
53,4737,4749,3.1,6,6,2.4,-1,0,10,0,10,0
54,1469,1478,4.8,7,6,2.0,-1,0,3,0,3,0
55,2673,2900,3.3,8,8,2.4,-1,0,6,0,6,0
56,4588,4626,2.5,4,4,2.5,-1,0,10,0,10,0
57,139,176,4.9,9,10,1.9,-1,0,1,0,1,0
58,2692,2913,2.2,5,2,2.7,-1,0,6,0,6,0
59,4739,4795,2.2,7,10,2.5,-1,0,10,0,10,0
60,3018,3083,4.8,8,4,2.2,-1,0,7,0,7,0
61,55,182,2.2,8,2,3.0,-1,0,1,0,1,0
62,4222,4276,4.6,1,10,1.2,-1,0,9,0,9,0
63,4843,4852,2.2,3,8,2.2,-1,0,10,0,10,0
64,734,736,2.4,9,4,3.0,-1,0,2,0,2,0
65,393,443,3.7,0,10,1.4,-1,0,1,0,1,0
66,3201,3204,2.2,10,10,2.8,-1,0,7,0,7,0
67,3765,3771,3.7,5,6,2.1,-1,0,8,0,8,0
68,4625,4629,2.6,5,4,2.5,-1,0,10,0,10,0
69,4050,4169,2.8,2,6,2.1,-1,0,9,0,9,0
70,4690,4795,3.4,1,2,2.0,-1,0,10,0,10,0
71,1026,1029,3.4,9,2,2.8,-1,0,3,0,3,0
72,4057,4064,2.2,3,10,2.1,-1,0,9,0,9,1
73,449,459,2.8,5,2,2.6,-1,0,1,0,1,0
74,4636,4680,4.6,5,6,1.8,-1,0,10,0,10,0
75,2833,2929,2.5,8,6,2.8,-1,0,6,0,6,0
76,940,962,3.8,10,10,2.4,-1,0,2,0,2,0
77,2086,2177,2.0,8,6,2.9,-1,0,5,0,5,1
78,3176,3268,4.8,1,4,1.5,-1,0,7,0,7,0
79,2269,2298,2.8,1,10,1.8,-1,0,5,0,5,0
80,2909,2924,2.5,4,10,2.1,-1,0,6,0,6,0
81,2222,2223,2.6,5,4,2.5,-1,0,5,0,5,0
82,4973,4975,4.1,4,10,1.7,-1,0,10,1,10,0
83,2125,2290,3.5,0,2,1.9,-1,0,5,0,5,0
84,2779,2814,3.9,4,2,2.1,-1,0,6,0,6,0
85,4618,4747,2.0,2,6,2.3,-1,0,10,0,10,0
86,1084,1091,2.5,7,10,2.5,-1,0,3,0,3,0
