demandId,sourceId,sinkId,demandVolume,arriveTime
0,1327,1132,90,28
1,1773,1788,55,27
2,1758,1346,65,16
3,1212,1674,90,27
4,681,506,65,36
5,816,284,55,17
6,1376,1612,50,14
7,357,232,60,49
8,1128,1045,80,10
9,1727,1211,70,45
10,408,754,95,35
11,1397,1899,80,21
12,742,1660,50,41
13,1287,1692,70,27
14,1587,1788,80,25
15,1326,1227,70,38
16,97,1984,85,30
17,388,178,50,22
18,1726,1851,65,27
19,1780,1793,70,19
20,695,930,65,18
21,1284,1698,95,43
22,67,708,75,20
23,1259,1787,55,10
24,520,783,55,43
25,804,519,85,26
26,1138,657,60,5
27,1595,1773,90,43
28,1983,1614,50,6
29,1263,1210,60,35
30,636,665,95,17
31,1282,968,70,34
32,467,463,60,36
33,1967,1940,50,3
34,1974,1712,100,39
35,1999,1,60,3
36,1747,1245,75,17
37,1943,1423,80,22
38,793,1221,50,20
39,1696,106,100,24
40,1794,1936,80,35
41,1308,221,80,41
42,1602,1515,80,40
43,1725,1158,50,4
44,341,794,55,40
45,607,1039,60,15
46,417,1188,65,7
47,1902,1590,75,10
48,1960,1627,70,2
49,1589,1941,70,9
50,836,139,75,42
51,840,1123,85,22
52,1652,1668,90,46
53,1680,1242,70,46
54,1167,1158,60,31
55,1586,457,80,35
56,910,143,80,7
57,113,897,100,13
58,1327,1334,85,30
59,1377,1392,95,49
60,834,1106,65,17
61,414,1368,65,17
62,107,294,75,29
63,517,574,95,21
64,1926,1229,60,3
65,1897,5,55,37
66,1871,1334,70,18
67,1751,1602,75,30
68,626,186,80,26
69,1449,1694,55,28
70,68,784,100,13
71,1310,239,95,47
72,342,1571,75,5
73,1347,1743,80,20
74,1655,841,55,2
75,1336,1574,65,6
76,983,1142,90,21
77,1896,370,55,42
78,346,251,100,33
79,985,71,65,44
80,1148,1611,60,42
81,1159,1738,80,25
82,1064,1018,60,15
83,516,323,70,42
84,1791,232,80,25
85,1518,1508,75,20
86,481,399,80,49
87,965,10,55,10
88,85,367,100,5
89,1547,1902,65,50
90,302,327,90,19
91,169,1002,80,31
92,1479,1269,100,13
93,1835,1341,80,18
94,114,552,70,45
95,956,655,50,6
96,201,729,95,50
97,1459,1483,90,41
98,471,816,60,47
99,1500,1953,90,40
100,414,28,55,21
101,1720,1706,100,15
102,1138,443,75,15
103,873,101,75,42
104,1544,1657,70,13
105,995,1278,75,42
106,1713,1921,80,10
107,1208,1298,90,44
108,1159,886,80,49
109,1886,1336,100,2
