linkId,sourceId,sinkId,keyRate,proDelay,bandwidth,weight,faultTime,is_cross_subdomain,src_subdomain,src_isGateway,dst_subdomain,dst_isGateway
0,206,217,3.4,2,10.0,1.58,-1,0,0,0,0,0
1,483,791,2.9,5,8.0,1.98,-1,0,0,0,0,0
2,152,920,3.3,0,9.0,1.56,-1,0,0,0,0,0
3,330,1192,3.5,5,10.0,1.7,-1,0,0,0,0,0
4,12,388,2.3,2,8.0,2.01,-1,0,0,0,0,0
5,308,386,4.2,0,8.0,1.34,-1,0,0,0,0,0
6,309,1025,2.2,5,8.0,2.19,-1,0,0,0,0,0
7,876,1072,3.3,0,10.0,1.51,-1,0,0,0,0,0
8,143,174,2.1,3,9.0,2.07,-1,0,0,0,0,0
9,874,1147,3.7,5,8.0,1.74,-1,0,0,0,0,0
10,175,1146,4.0,3,9.0,1.5,-1,0,0,0,0,0
11,189,815,3.8,4,8.0,1.66,-1,0,0,0,0,0
12,563,733,2.7,2,10.0,1.79,-1,0,0,1,0,0
13,408,859,3.5,1,9.0,1.55,-1,0,0,0,0,0
14,559,1028,3.5,0,10.0,1.45,-1,0,0,0,0,0
15,471,915,2.6,2,10.0,1.82,-1,0,0,0,0,0
16,313,972,3.2,4,8.0,1.84,-1,0,0,0,0,0
17,915,1077,4.5,3,8.0,1.4,-1,0,0,0,0,0
18,101,1052,4.9,5,10.0,1.28,-1,0,0,0,0,0
19,560,849,4.8,5,9.0,1.36,-1,0,0,0,0,0
20,390,697,4.6,5,8.0,1.47,-1,0,0,0,0,0
21,128,926,4.4,0,8.0,1.28,-1,0,0,0,0,0
22,307,1157,2.3,3,10.0,1.96,-1,0,0,0,0,0
23,100,864,2.4,5,9.0,2.08,-1,0,0,1,0,0
24,889,1024,3.3,1,10.0,1.56,-1,0,0,0,0,0
25,70,692,2.4,3,10.0,1.93,-1,0,0,0,0,0
26,781,1198,3.0,4,8.0,1.9,-1,0,0,0,0,0
27,258,1157,5.0,3,10.0,1.15,-1,0,0,0,0,0
28,695,929,2.4,0,8.0,1.88,-1,0,0,0,0,0
29,702,1090,4.4,5,10.0,1.43,-1,0,0,0,0,0
30,1066,1222,4.0,1,8.0,1.45,-1,0,0,0,0,0
31,99,238,3.6,5,8.0,1.77,-1,0,0,0,0,0
32,367,1221,2.3,5,10.0,2.06,-1,0,0,0,0,0
33,2,305,3.1,0,9.0,1.62,-1,0,0,1,0,0
34,661,1173,2.3,0,10.0,1.81,-1,0,0,0,0,0
35,699,876,4.3,2,8.0,1.41,-1,0,0,0,0,0
36,358,583,4.5,3,8.0,1.4,-1,0,0,0,0,0
37,271,1109,3.2,5,8.0,1.89,-1,0,0,0,0,0
38,236,593,4.2,5,10.0,1.49,-1,0,0,0,0,0
39,12,1114,4.2,1,9.0,1.34,-1,0,0,0,0,0
40,43,427,4.7,5,8.0,1.44,-1,0,0,0,0,0
41,631,634,3.1,5,8.0,1.92,-1,0,0,0,0,0
42,309,583,4.4,0,8.0,1.28,-1,0,0,0,0,0
43,796,930,2.2,0,10.0,1.84,-1,0,0,0,0,0
44,6,316,2.2,4,10.0,2.04,-1,0,0,0,0,0
45,1172,1217,2.7,4,9.0,1.94,-1,0,0,0,0,0
46,533,1230,3.6,5,8.0,1.77,-1,0,0,0,0,0
47,209,352,4.4,2,10.0,1.28,-1,0,0,0,0,0
48,306,1187,4.9,1,10.0,1.08,-1,0,0,0,0,1
49,317,824,3.9,1,9.0,1.43,-1,0,0,0,0,0
50,421,881,4.1,2,8.0,1.47,-1,0,0,0,0,0
51,679,1176,3.0,4,8.0,1.9,-1,0,0,0,0,0
52,485,758,3.9,0,10.0,1.33,-1,0,0,0,0,0
53,196,655,4.2,0,9.0,1.29,-1,0,0,0,0,1
54,810,1228,4.1,5,9.0,1.57,-1,0,0,0,0,0
55,323,615,3.3,0,8.0,1.61,-1,0,0,0,0,0
56,509,1236,4.3,3,8.0,1.46,-1,0,0,0,0,0
57,110,736,3.6,5,8.0,1.77,-1,0,0,0,0,0
58,72,1154,3.5,0,8.0,1.55,-1,0,0,0,0,0
59,715,967,5.0,5,10.0,1.25,-1,0,0,0,0,0
60,314,623,3.3,0,9.0,1.56,-1,0,0,0,0,0
61,772,949,4.6,4,9.0,1.37,-1,0,0,0,0,0
62,39,1098,4.3,5,9.0,1.51,-1,0,0,0,0,0
63,505,605,4.3,0,9.0,1.26,-1,0,0,0,0,0
64,307,849,4.7,1,8.0,1.24,-1,0,0,0,0,0
65,666,1196,5.0,0,8.0,1.1,-1,0,0,0,0,0
66,173,1034,4.9,5,10.0,1.28,-1,0,0,0,0,0
67,107,680,4.8,5,10.0,1.31,-1,0,0,0,0,0
68,434,846,2.7,4,9.0,1.94,-1,0,0,0,0,0
69,93,287,3.5,1,10.0,1.5,-1,0,0,0,0,0
70,161,916,3.3,4,9.0,1.76,-1,0,0,0,0,0
71,296,323,4.9,0,10.0,1.03,-1,0,0,0,0,0
72,135,634,3.8,0,10.0,1.36,-1,0,0,1,0,0
73,1105,1135,2.9,5,9.0,1.93,-1,0,0,1,0,0
74,420,1032,3.8,3,9.0,1.56,-1,0,0,0,0,0
75,308,333,4.2,2,10.0,1.34,-1,0,0,0,0,0
76,20,1098,2.1,5,8.0,2.22,-1,0,0,0,0,0
77,152,1217,3.2,3,9.0,1.74,-1,0,0,0,0,0
78,466,855,3.4,0,10.0,1.48,-1,0,0,0,0,0
79,493,500,3.5,3,8.0,1.7,-1,0,0,0,0,0
80,985,1191,4.0,4,8.0,1.6,-1,0,0,0,0,0
81,308,683,3.2,1,9.0,1.64,-1,0,0,0,0,0
82,258,1091,3.6,5,10.0,1.67,-1,0,0,0,0,0
83,654,1091,3.1,0,10.0,1.57,-1,0,0,0,0,0
84,616,691,4.0,5,8.0,1.65,-1,0,0,0,0,0
85,194,1227,3.4,3,8.0,1.73,-1,0,0,0,0,0
86,293,940,3.8,1,9.0,1.46,-1,0,0,0,0,0
87,764,791,3.3,3,10.0,1.66,-1,0,0,0,0,0
88,394,992,4.5,4,8.0,1.45,-1,0,0,0,0,0
89,91,991,3.7,5,8.0,1.74,-1,0,0,0,0,0
90,218,766,3.3,3,8.0,1.76,-1,0,0,0,0,0
91,138,514,4.8,2,8.0,1.26,-1,0,0,0,0,0
92,652,735,2.6,5,10.0,1.97,-1,0,0,0,0,0
93,855,1094,4.0,5,10.0,1.55,-1,0,0,0,0,0
94,60,594,4.9,0,9.0,1.08,-1,0,0,0,0,0
95,808,982,2.9,4,8.0,1.93,-1,0,0,0,0,0
96,574,815,4.4,4,10.0,1.38,-1,0,0,0,0,0
97,177,1115,2.3,2,9.0,1.96,-1,0,0,0,0,0
98,306,1000,3.9,3,9.0,1.53,-1,0,0,0,0,0
99,889,1092,2.5,2,10.0,1.85,-1,0,0,0,0,0
100,655,925,4.5,3,9.0,1.35,-1,0,0,1,0,0
101,40,1002,2.1,1,10.0,1.92,-1,0,0,0,0,0
102,250,583,3.1,5,10.0,1.82,-1,0,0,0,0,0
103,139,715,2.1,0,8.0,1.97,-1,0,0,0,0,0
104,395,412,4.8,2,8.0,1.26,-1,0,0,0,0,0
105,424,884,4.3,0,9.0,1.26,-1,0,0,0,0,0
106,300,525,3.0,4,10.0,1.8,-1,0,0,0,0,0
107,319,538,2.6,0,8.0,1.82,-1,0,0,0,0,1
108,577,1062,3.8,2,9.0,1.51,-1,0,0,0,0,0
109,38,296,3.1,0,10.0,1.57,-1,0,0,0,0,0
110,76,551,3.6,0,10.0,1.42,-1,0,0,0,0,0
111,306,1242,2.3,2,10.0,1.91,-1,0,0,0,0,0
112,708,764,3.3,0,10.0,1.51,-1,0,0,0,0,0
113,680,931,3.1,0,8.0,1.67,-1,0,0,0,0,0
114,409,589,4.2,1,9.0,1.34,-1,0,0,0,0,0
