linkId,sourceId,sinkId,keyRate,proDelay,bandwidth,weight,faultTime,is_cross_subdomain,src_subdomain,src_isGateway,dst_subdomain,dst_isGateway
0,152,920,3.7,3,9.0,1.59,-1,0,0,0,0,0
1,116,445,3.0,2,8.0,1.8,-1,0,0,0,0,0
2,308,386,4.9,0,10.0,1.03,-1,0,0,0,0,0
3,779,910,4.6,5,8.0,1.47,-1,0,0,0,0,0
4,60,405,3.3,2,10.0,1.61,-1,0,0,0,0,0
5,478,918,4.6,2,8.0,1.32,-1,0,0,0,0,0
6,338,386,3.0,1,8.0,1.75,-1,0,0,0,0,0
7,408,859,2.9,3,9.0,1.83,-1,0,0,0,0,0
8,57,107,2.7,1,9.0,1.79,-1,0,0,0,0,0
9,315,402,4.8,2,10.0,1.16,-1,0,0,0,0,0
10,48,58,4.3,1,10.0,1.26,-1,0,0,0,0,0
11,311,926,2.8,0,8.0,1.76,-1,0,0,0,0,0
12,498,523,3.7,4,8.0,1.69,-1,0,0,0,0,0
13,216,1039,2.1,0,10.0,1.87,-1,0,0,0,0,0
14,390,697,3.6,1,8.0,1.57,-1,0,0,0,0,0
15,269,636,3.5,0,9.0,1.5,-1,0,0,0,0,0
16,100,864,2.6,4,9.0,1.97,-1,0,0,0,0,0
17,70,692,4.2,4,8.0,1.54,-1,0,0,1,0,0
18,1013,1090,4.5,2,8.0,1.35,-1,0,0,0,0,0
19,364,644,4.1,0,9.0,1.32,-1,0,0,0,0,0
20,575,864,4.7,3,9.0,1.29,-1,0,0,0,0,0
21,258,1157,2.3,1,9.0,1.91,-1,0,0,0,0,0
22,163,1041,4.2,0,9.0,1.29,-1,0,0,0,0,0
23,284,513,4.4,5,8.0,1.53,-1,0,0,0,0,0
24,234,921,4.2,2,8.0,1.44,-1,0,0,0,0,0
25,661,1173,3.5,2,9.0,1.6,-1,0,0,0,0,0
26,864,980,3.9,4,10.0,1.53,-1,0,0,0,0,0
27,165,942,4.3,5,10.0,1.46,-1,0,0,0,0,0
28,297,344,2.9,0,9.0,1.68,-1,0,0,0,0,0
29,27,483,2.3,5,10.0,2.06,-1,0,0,0,0,0
